ап1,time,latitude,longitude,instrument,has_temperature,has_salinity,temperature0.0,salinity0.0,temperature5.0,salinity5.0,temperature10.0,salinity10.0,temperature15.0,salinity15.0,temperature20.0,salinity20.0,temperature25.0,salinity25.0,temperature30.0,salinity30.0,temperature35.0,salinity35.0,temperature40.0,salinity40.0,temperature45.0,salinity45.0,temperature50.0,salinity50.0,temperature55.0,salinity55.0,temperature60.0,salinity60.0,temperature65.0,salinity65.0,temperature70.0,salinity70.0,temperature75.0,salinity75.0,temperature80.0,salinity80.0,temperature85.0,salinity85.0,temperature90.0,salinity90.0,temp_res,temperature95.0,salinity95.0,temperature100.0,salinity100.0,temperature105.0,salinity105.0,temperature110.0,salinity110.0,temperature115.0,salinity115.0,temperature120.0,salinity120.0,temperature125.0,salinity125.0,temperature130.0,salinity130.0,temperature135.0,salinity135.0,temperature140.0,salinity140.0,temperature145.0,salinity145.0,temperature150.0,salinity150.0,temperature155.0,salinity155.0,temperature160.0,salinity160.0,temperature165.0,salinity165.0,temperature170.0,salinity170.0,temperature175.0,salinity175.0,temperature180.0,salinity180.0,temperature185.0,salinity185.0,temperature190.0,salinity190.0,temperature195.0,salinity195.0,temperature200.0,salinity200.0,temperature205.0,salinity205.0,temperature210.0,salinity210.0,temperature215.0,salinity215.0,temperature220.0,salinity220.0,temperature225.0,salinity225.0,temperature230.0,salinity230.0,temperature235.0,salinity235.0,temperature240.0,salinity240.0,temperature250.0,salinity250.0,temperature9.0,salinity9.0,temperature19.0,salinity19.0,temperature28.0,salinity28.0,temperature47.0,salinity47.0,temperature93.0,salinity93.0,temperature137.0,salinity137.0,temperature181.0,salinity181.0,temperature271.0,salinity271.0,temperature392.0,salinity392.0,temperature489.0,salinity489.0,temperature588.0,salinity588.0,temperature686.0,salinity686.0,temperature784.0,salinity784.0,temperature981.0,salinity981.0,temperature1140.0,salinity1140.0,temperature1376.0,salinity1376.0,temperature1617.0,salinity1617.0,sali_res,temperature7.0,salinity7.0,temperature14.0,salinity14.0,temperature21.0,salinity21.0,temperature36.0,salinity36.0,temperature54.0,salinity54.0,temperature72.0,salinity72.0,temperature89.0,salinity89.0,temperature107.0,salinity107.0,temperature146.0,salinity146.0,temperature189.0,salinity189.0,temperature360.0,salinity360.0,temperature442.0,salinity442.0,temperature525.0,salinity525.0,temperature540.0,salinity540.0,temperature620.0,salinity620.0,temperature1000.0,salinity1000.0,temperature1225.0,salinity1225.0,temperature1458.0,salinity1458.0,temperature34.0,salinity34.0,temperature48.0,salinity48.0,temperature63.0,salinity63.0,temperature77.0,salinity77.0,temperature91.0,salinity91.0,temperature183.0,salinity183.0,temperature261.0,salinity261.0,temperature460.0,salinity460.0,temperature547.0,salinity547.0,temperature635.0,salinity635.0,temperature722.0,salinity722.0,temperature811.0,salinity811.0,temperature984.0,salinity984.0,temperature1220.0,salinity1220.0,temperature1453.0,salinity1453.0,temperature1700.0,salinity1700.0,temperature8.0,salinity8.0,temperature16.0,salinity16.0,temperature23.0,salinity23.0,temperature73.0,salinity73.0,temperature106.0,salinity106.0,temperature209.0,salinity209.0,temperature338.0,salinity338.0,temperature378.0,salinity378.0,temperature425.0,salinity425.0,temperature478.0,salinity478.0,temperature666.0,salinity666.0,temperature833.0,salinity833.0,temperature1009.0,salinity1009.0,temperature1237.0,salinity1237.0,temperature18.0,salinity18.0,temperature26.0,salinity26.0,temperature43.0,salinity43.0,temperature66.0,salinity66.0,temperature83.0,salinity83.0,temperature116.0,salinity116.0,temperature144.0,salinity144.0,temperature172.0,salinity172.0,temperature203.0,salinity203.0,temperature272.0,salinity272.0,temperature310.0,salinity310.0,temperature390.0,salinity390.0,temperature470.0,salinity470.0,temperature555.0,salinity555.0,temperature641.0,salinity641.0,temperature820.0,salinity820.0,temperature1053.0,salinity1053.0,temperature1286.0,salinity1286.0,temperature1522.0,salinity1522.0,temperature46.0,salinity46.0,temperature68.0,salinity68.0,temperature109.0,salinity109.0,temperature128.0,salinity128.0,temperature164.0,salinity164.0,temperature238.0,salinity238.0,temperature258.0,salinity258.0,temperature303.0,salinity303.0,temperature330.0,salinity330.0,temperature354.0,salinity354.0,temperature400.0,salinity400.0,temperature448.0,salinity448.0,temperature544.0,salinity544.0,temperature673.0,salinity673.0,temperature803.0,salinity803.0,temperature990.0,salinity990.0,temperature27.0,salinity27.0,temperature108.0,salinity108.0,temperature127.0,salinity127.0,temperature206.0,salinity206.0,temperature248.0,salinity248.0,temperature332.0,salinity332.0,temperature344.0,salinity344.0,temperature412.0,salinity412.0,temperature483.0,salinity483.0,temperature699.0,salinity699.0,temperature893.0,salinity893.0,temperature1101.0,salinity1101.0,temperature1324.0,salinity1324.0,temperature38.0,salinity38.0,temperature57.0,salinity57.0,temperature74.0,salinity74.0,temperature103.0,salinity103.0,temperature129.0,salinity129.0,temperature154.0,salinity154.0,temperature179.0,salinity179.0,temperature245.0,salinity245.0,temperature474.0,salinity474.0,temperature565.0,salinity565.0,temperature658.0,salinity658.0,temperature750.0,salinity750.0,temperature844.0,salinity844.0,temperature1035.0,salinity1035.0,temperature1277.0,salinity1277.0,temperature1524.0,salinity1524.0,temperature1772.0,salinity1772.0,temperature24.0,salinity24.0,temperature61.0,salinity61.0,temperature97.0,salinity97.0,temperature112.0,salinity112.0,temperature138.0,salinity138.0,temperature162.0,salinity162.0,temperature246.0,salinity246.0,temperature416.0,salinity416.0,temperature472.0,salinity472.0,temperature526.0,salinity526.0,temperature772.0,salinity772.0,temperature924.0,salinity924.0,temperature1099.0,salinity1099.0,temperature53.0,salinity53.0,temperature69.0,salinity69.0,temperature98.0,salinity98.0,temperature153.0,salinity153.0,temperature255.0,salinity255.0,temperature414.0,salinity414.0,temperature491.0,salinity491.0,temperature568.0,salinity568.0,temperature645.0,salinity645.0,temperature801.0,salinity801.0,temperature1202.0,salinity1202.0,temperature1419.0,salinity1419.0,temperature12.0,salinity12.0,temperature62.0,salinity62.0,temperature79.0,salinity79.0,temperature96.0,salinity96.0,temperature147.0,salinity147.0,temperature214.0,salinity214.0,temperature305.0,salinity305.0,temperature365.0,salinity365.0,temperature420.0,salinity420.0,temperature471.0,salinity471.0,temperature756.0,salinity756.0,temperature943.0,salinity943.0,temperature1153.0,salinity1153.0,temperature99.0,salinity99.0,temperature124.0,salinity124.0,temperature148.0,salinity148.0,temperature198.0,salinity198.0,temperature247.0,salinity247.0,temperature297.0,salinity297.0,temperature396.0,salinity396.0,temperature497.0,salinity497.0,temperature595.0,salinity595.0,temperature694.0,salinity694.0,temperature792.0,salinity792.0,temperature989.0,salinity989.0,temperature1485.0,salinity1485.0,temperature1733.0,salinity1733.0,temperature1980.0,salinity1980.0,temperature2475.0,salinity2475.0,temperature2970.0,salinity2970.0,temperature3463.0,salinity3463.0,temperature3958.0,salinity3958.0,temperature4452.0,salinity4452.0,temperature4946.0,salinity4946.0,temperature5442.0,salinity5442.0,temperature5640.0,salinity5640.0,temperature92.0,salinity92.0,temperature114.0,salinity114.0,temperature177.0,salinity177.0,temperature221.0,salinity221.0,temperature267.0,salinity267.0,temperature363.0,salinity363.0,temperature386.0,salinity386.0,temperature473.0,salinity473.0,temperature562.0,salinity562.0,temperature654.0,salinity654.0,temperature747.0,salinity747.0,temperature932.0,salinity932.0,temperature1167.0,salinity1167.0,temperature1405.0,salinity1405.0,temperature1646.0,salinity1646.0,temperature260.0,salinity260.0,temperature265.0,salinity265.0,temperature270.0,salinity270.0,temperature67.0,salinity67.0,temperature71.0,salinity71.0,temperature88.0,salinity88.0,temperature104.0,salinity104.0,temperature111.0,salinity111.0,temperature3.0,salinity3.0,temperature58.0,salinity58.0,temperature64.0,salinity64.0,temperature101.0,salinity101.0,temperature113.0,salinity113.0,temperature78.0,salinity78.0,temperature4.0,salinity4.0,temperature37.0,salinity37.0,temperature81.0,salinity81.0,temperature52.0,salinity52.0,temperature82.0,salinity82.0,temperature94.0,salinity94.0,temperature126.0,salinity126.0,temperature131.0,salinity131.0,temperature134.0,salinity134.0
0,1965/3/5 9:00,1.2,139.1,1,1,0,29.9,,29.9,,29.9,,30,,30,,30,,30,,30,,29.9,,29.8,,29.6,,29.6,,29.5,,29.1,,28.8,,28.7,,28.5,,28,,27.6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1965/3/5 10:00,1.783,137.5,1,1,0,30.1,,30.1,,30.1,,30.1,,30.1,,30.1,,30.1,,30.1,,30,,29.9,,29.9,,29.9,,29.6,,29.5,,29.3,,28.9,,28.8,,28.5,,28.4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1965/3/5 12:00,1.883,137.867,1,1,0,28.9,,28.9,,28.9,,28.9,,28.9,,28.9,,28.8,,28.8,,28.8,,28.6,,28.4,,28.3,,27.9,,27.4,,27.3,,27.3,,27.2,,26.7,,26.3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1965/3/5 14:00,2.083,137.3,1,1,0,29,,29,,29,,29,,29,,29,,28.9,,28.9,,28.9,,28.8,,28.8,,28.8,,28.7,,28.6,,28.4,,28.1,,27.3,,26.8,,26.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1965/3/5 16:00,2.283,137.183,1,1,0,28.9,,28.9,,28.9,,28.9,,28.9,,28.9,,28.9,,28.9,,28.8,,28.8,,28.7,,28.2,,27.7,,27,,26.7,,26.3,,26.4,,26.2,,25.8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1965/3/5 18:00,2.5,136.5,1,1,0,28.9,,28.9,,28.9,,28.9,,28.9,,28.9,,28.9,,28.9,,28.8,,28.7,,28.1,,27.6,,27.2,,27,,26.9,,27.1,,26.9,,26.4,,26.1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1965/3/5 20:00,2.533,136.1,1,1,0,29.1,,29.1,,29.1,,29.1,,28.9,,28.9,,28.9,,28.7,,28.2,,27.6,,27.2,,27.2,,27.1,,26.7,,26.6,,26.4,,25.9,,25.6,,25.3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1965/3/5 22:00,2.5,135.1,1,1,0,29.1,,29.1,,29.1,,29.1,,29.1,,29,,28.9,,28.9,,28.7,,28.4,,27.2,,26.9,,27,,26.9,,26.6,,26.3,,26.1,,25.4,,24.9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1965/3/6 2:00,3.083,134.3,1,1,0,28.9,,28.8,,28.7,,28.6,,28.6,,28.6,,28.6,,28.1,,27.8,,27.6,,27.2,,26.8,,26.6,,26.4,,25.8,,25.3,,25.3,,25.1,,24.2,,1,22.9,,23.3,,23.3,,23.2,,22.7,,22.2,,21.5,,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1965/3/6 4:00,3.2,133.883,1,1,0,28.8,,28.1,,27.9,,27.5,,27.5,,27.4,,27.3,,27.1,,26.1,,25.4,,25.4,,25.3,,25.1,,25.2,,24.7,,24.5,,24.4,,23.1,,22.5,,1,22.3,,22.2,,21.8,,21.6,,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
